seed_key,source_name,state_source,state_code,city_name,locality_name,distance_km,zone,profile_code,range_1200,range_650,range_250,range_120,range_30,allowed_ranges,shipping_cost,free_from_qty,source_logistic_discount,source_row
NAY_002_18,AHUACATLAN,Nayarit,NAY,Ahuacatlán,Ahuacatlán,515,OCCIDENTE,PERFIL_08,0.04,0.03,N/A,N/A,,1200|650,110,650,0.03,465
PUE_119_07,SAN ANDRES CHOLULA,Puebla,PUE,San Andrés Cholula,San Andrés Cholula,517,SURESTE,PERFIL_10,0.04,0.02,N/A,N/A,,1200|650,110,650,0.03,468
SLP_024_04,RIOVERDE,San Luis Potosí,SLP,Rioverde,Rioverde,523,MICHOACÁN,PERFIL_05,0.05,0.04,N/A,N/A,,1200|650,110,650,0.03,478
PUE_015_17,AMOZOC,Puebla,PUE,Amozoc,Amozoc,523,SURESTE,PERFIL_10,0.04,0.02,N/A,N/A,,1200|650,110,650,0.03,480
HID_061_15,TEPEAPULCO,Hidalgo,HID,Tepeapulco,Tepeapulco,523,SURESTE,PERFIL_11,0.05,0.03,N/A,N/A,,1200|650,90,650,0.03,482
NAY_018_03,TUXPAN,Nayarit,NAY,Tuxpan,Tuxpan,526,OCCIDENTE,PERFIL_08,0.04,0.03,N/A,N/A,,1200|650,110,650,0.03,486
COL_007_02,MANZANILLO,Colima,COL,Manzanillo,Manzanillo,527,OCCIDENTE,PERFIL_07,0.05,0.02,N/A,N/A,,1200|650,80,650,0.03,489
JAL_085_54,TAMAZULA DE GORDIANO,Jalisco,JAL,Tamazula de Gordiano,Tamazula de Gordiano,527,OCCIDENTE,PERFIL_05,0.05,0.04,N/A,N/A,,1200|650,110,650,0.03,491
NAY_007_17,JALA,Nayarit,NAY,Jala,Jala,528,OCCIDENTE,PERFIL_08,0.04,0.03,N/A,N/A,,1200|650,110,650,0.03,493
NAY_011_09,RUIZ,Nayarit,NAY,Ruíz,Ruiz,528,OCCIDENTE,PERFIL_08,0.04,0.03,N/A,N/A,,1200|650,110,650,0.03,494
NAY_006_11,IXTLÁN DEL RIO,Nayarit,NAY,Ixtlán del Río,Ixtlán del Río,533,OCCIDENTE,PERFIL_08,0.04,0.03,N/A,N/A,,1200|650,110,650,0.03,508
PUE_140_08,SAN PEDRO CHOLULA,Puebla,PUE,San Pedro Cholula,San Pedro Cholula,538,SURESTE,PERFIL_10,0.04,0.02,N/A,N/A,,1200|650,110,650,0.03,514
PUE_019_01,ATLIXCO,Puebla,PUE,Atlixco,Atlixco,538,SURESTE,PERFIL_10,0.04,0.02,N/A,N/A,,1200|650,110,650,0.03,515
HID_076_05,TULA DE ALLENDE,Hidalgo,HID,Tula de Allende,Tula de Allende,543,SURESTE,PERFIL_11,0.05,0.03,N/A,N/A,,1200|650,90,650,0.03,524
PUE_164_12,TEPEACA,Puebla,PUE,Tepeaca,Tepeaca,543,SURESTE,PERFIL_10,0.04,0.02,N/A,N/A,,1200|650,110,650,0.03,525
PUE_041_11,CUAUTLANCINGO,Puebla,PUE,Cuautlancingo,Cuautlancingo,543,SURESTE,PERFIL_10,0.04,0.02,N/A,N/A,,1200|650,110,650,0.03,527
HID_030_12,IXMIQUILPAN,Hidalgo,HID,Ixmiquilpan,Ixmiquilpan,544,SURESTE,PERFIL_11,0.05,0.03,N/A,N/A,,1200|650,90,650,0.03,529
TLA_005_01,APIZACO,Tlaxcala,TLA,Apizaco,Apizaco,558,SURESTE,PERFIL_10,0.04,0.02,N/A,N/A,,1200|650,110,650,0.03,551
PUE_154_13,TECAMACHALCO,Puebla,PUE,Tecamachalco,Tecamachalco,564,SURESTE,PERFIL_10,0.04,0.02,N/A,N/A,,1200|650,110,650,0.03,560
HID_008_02,APAN,Hidalgo,HID,Apan,Apan,566,SURESTE,PERFIL_11,0.05,0.03,N/A,N/A,,1200|650,90,650,0.03,565
JAL_067_06,PUERTO VALLARTA,Jalisco,JAL,Puerto Vallarta,Puerto Vallarta,571,OCCIDENTE,PERFIL_05,0.05,0.04,N/A,N/A,,1200|650,110,650,0.03,572
JAL_022_36,CIHUATLAN,Jalisco,JAL,Cihuatlán,Cihuatlán,572,OCCIDENTE,PERFIL_05,0.05,0.04,N/A,N/A,,1200|650,110,650,0.03,574
HID_074_09,TLAXCOAPAN,Hidalgo,HID,Tlaxcoapan,Tlaxcoapan,576,SURESTE,PERFIL_11,0.05,0.03,N/A,N/A,,1200|650,90,650,0.03,579
TLA_033_03,TLAXCALA,Tlaxcala,TLA,Tlaxcala,Tlaxcala (Tlaxcala de Xicotencatl),579,SURESTE,PERFIL_10,0.04,0.02,N/A,N/A,,1200|650,110,650,0.03,582
TLA_010_06,CHIAUTEMPAN,Tlaxcala,TLA,Chiautempan,Chiautempan,587,SURESTE,PERFIL_10,0.04,0.02,N/A,N/A,,1200|650,110,650,0.03,590
TLA_013_04,HUAMANTLA,Tlaxcala,TLA,Huamantla,Huamantla,587,SURESTE,PERFIL_10,0.04,0.02,N/A,N/A,,1200|650,110,650,0.03,592
SLP_007_14,CEDRAL,San Luis Potosí,SLP,Cedral,Cedral,590,MICHOACÁN,PERFIL_05,0.05,0.04,N/A,N/A,,1200|650,110,650,0.03,598
HID_084_07,ZIMAPAN,Hidalgo,HID,Zimapán,Zimapan,593,SURESTE,PERFIL_11,0.05,0.03,N/A,N/A,,1200|650,90,650,0.03,602
DUR_016_09,NOMBRE DE DIOS,Durango,DUR,Nombre de Dios,Nombre de Dios,594,NORESTE,PERFIL_07,0.05,0.02,N/A,N/A,,1200|650,90,650,0.03,603
SLP_020_03,MATEHUALA,San Luis Potosí,SLP,Matehuala,Matehuala,595,MICHOACÁN,PERFIL_05,0.05,0.04,N/A,N/A,,1200|650,110,650,0.03,604
PUE_085_02,IZUCAR DE MATAMOROS,Puebla,PUE,Izúcar de Matamoros,Izúcar de Matamoros,600,SURESTE,PERFIL_12,0.04,N/A,N/A,N/A,,1200,110,650,0.03,606
NAY_001_04,ACAPONETA,Nayarit,NAY,Acaponeta,Acaponeta,603,OCCIDENTE,PERFIL_08,0.04,0.03,N/A,N/A,,1200|650,110,650,0.03,611
NAY_016_05,TECUALA,Nayarit,NAY,Tecuala,Tecuala,603,OCCIDENTE,PERFIL_08,0.04,0.03,N/A,N/A,,1200|650,110,650,0.03,612
DUR_001_05,CANATLAN,Durango,DUR,Canatlán,Canatlán,611,NORESTE,PERFIL_07,0.05,0.02,N/A,N/A,,1200|650,90,650,0.03,614
COA_030_08,SALTILLO,Coahuila,COA,Saltillo,Saltillo,628,NORTE,PERFIL_13,0.03,0.02,N/A,N/A,,1200|650,110,650,0.03,620
PUE_208_14,ZACATLAN,Puebla,PUE,Zacatlán,Zacatlán,630,SURESTE,PERFIL_12,0.04,N/A,N/A,N/A,,1200,110,650,0.03,623
DUR_038_10,VICENTE GUERRERO,Durango,DUR,Vicente Guerrero,Vicente Guerrero,637,NORESTE,PERFIL_07,0.05,0.02,N/A,N/A,,1200|650,90,650,0.03,624
PUE_156_05,TEHUACAN,Puebla,PUE,Tehuacán,Tehuacan,640,SURESTE,PERFIL_12,0.04,N/A,N/A,N/A,,1200,110,650,0.03,625
PUE_174_06,TEZIUTLAN,Puebla,PUE,Teziutlán,Teziutlán,645,SURESTE,PERFIL_12,0.04,N/A,N/A,N/A,,1200,110,650,0.03,627
DUR_007_02,GOMEZ PALACIO,Durango,DUR,Gómez Palacio,Gómez Palacio,646,NORESTE,PERFIL_07,0.05,0.02,N/A,N/A,,1200|650,90,650,0.03,628
COA_027_16,RAMOS ARIZPE,Coahuila,COA,Ramos Arizpe,Ramos Arizpe,648,NORTE,PERFIL_13,0.03,0.02,N/A,N/A,,1200|650,110,650,0.03,629
COA_004_23,ARTEAGA,Coahuila,COA,Arteaga,Arteaga,650,NORTE,PERFIL_13,0.03,0.02,N/A,N/A,,1200|650,110,650,0.03,630
COA_035_11,TORREON,Coahuila,COA,Torreón,Torreón,657,NORTE,PERFIL_13,0.03,0.02,N/A,N/A,,1200|650,110,650,0.03,635
COA_017_03,MATAMOROS,Coahuila,COA,Matamoros,Matamoros,661,NORTE,PERFIL_13,0.03,0.02,N/A,N/A,,1200|650,110,650,0.03,638
VER_040_49,COATZINTLA,Veracruz,VER,Coatzintla,Coatzintla,671,SURESTE,PERFIL_09,0.02,0,N/A,N/A,,1200|650,110,650,0.03,644
NLE_049_17,SANTIAGO,Nuevo León,NLE,Santiago,Santiago,750,NORTE,PERFIL_08,0.04,0.03,N/A,N/A,,1200|650,110,650,0.03,651
NLE_012_12,CIENEGA DE FLORES,Nuevo León,NLE,Ciénega de Flores,Ciénega de Flores,751,NORTE,PERFIL_08,0.04,0.03,N/A,N/A,,1200|650,110,650,0.03,656
NLE_018_21,GARCIA,Nuevo León,NLE,García,García,753,NORTE,PERFIL_08,0.04,0.03,N/A,N/A,,1200|650,110,650,0.03,658
NLE_009_15,CADEREYTA DE JIMENEZ,Nuevo León,NLE,Cadereyta Jiménez,Cadereyta Jiménez,754,NORTE,PERFIL_08,0.04,0.03,N/A,N/A,,1200|650,110,650,0.03,659
NLE_038_06,MONTEMORELOS,Nuevo León,NLE,Montemorelos,Montemorelos,796,NORTE,PERFIL_08,0.04,0.03,N/A,N/A,,1200|650,110,650,0.03,667
TAM_003_01,ALTAMIRA,Tamaulipas,TAM,Altamira,Altamira,825,SURESTE,PERFIL_13,0.03,0.02,N/A,N/A,,1200|650,131,650,0.03,670
GRO_022_14,COYUCA DE CATALAN,Guerrero,GRO,Coyuca de Catalán,Coyuca de Catalán,826,MICHOACÁN,PERFIL_10,0.04,0.02,N/A,N/A,,1200|650,120,650,0.03,672
TAM_038_10,TAMPICO,Tamaulipas,TAM,Tampico,Tampico,835,SURESTE,PERFIL_10,0.04,0.02,N/A,N/A,,1200|650,131,650,0.03,674
TAM_009_03,CIUDAD MADERO,Tamaulipas,TAM,Ciudad Madero,Ciudad Madero,835,SURESTE,PERFIL_13,0.03,0.02,N/A,N/A,,1200|650,131,650,0.03,675
NLE_033_05,LINARES,Nuevo León,NLE,Linares,Linares,848,NORTE,PERFIL_08,0.04,0.03,N/A,N/A,,1200|650,131,650,0.03,676
COA_018_04,MONCLOVA,Coahuila,COA,Monclova,Monclova,931,NORTE,PERFIL_14,0.03,0,N/A,N/A,,1200|650,110,650,0.03,680
TAM_012_12,GONZALEZ,Tamaulipas,TAM,González,González,935,SURESTE,PERFIL_15,0.02,N/A,N/A,N/A,,1200,131,650,0.03,682
TAM_032_07,REYNOSA,Tamaulipas,TAM,Reynosa,Reynosa,940,SURESTE,PERFIL_15,0.02,N/A,N/A,N/A,,1200,131,650,0.03,683
SIN_018_07,NAVOLATO,Sinaloa,SIN,Navolato,Navolato,948,NORESTE,PERFIL_13,0.03,0.02,N/A,N/A,,1200|650,90,650,0.03,686
COA_010_02,FRONTERA,Coahuila,COA,Frontera,Frontera,951,NORTE,PERFIL_14,0.03,0,N/A,N/A,,1200|650,110,650,0.03,687
COA_031_19,SAN BUENAVENTURA,Coahuila,COA,San Buenaventura,San Buenaventura,953,NORTE,PERFIL_14,0.03,0,N/A,N/A,,1200|650,110,650,0.03,689
OAX_540_34,VILLA DE TAMAZULAPAM DEL PROGRESO,Oaxaca,OAX,Villa de Tamazulápam del Progreso,Villa de Tamazulápam del Progreso,957,SURESTE,PERFIL_16,0.03,N/A,N/A,N/A,,1200,131,650,0.03,690
COA_021_15,NADADORES,Coahuila,COA,Nadadores,Nadadores,980,NORTE,PERFIL_14,0.03,0,N/A,N/A,,1200|650,110,650,0.03,692
SLP_013_01,CIUDAD VALLES,San Luis Potosí,SLP,Ciudad Valles,Ciudad Valles,985,MICHOACÁN,PERFIL_05,0.05,0.04,N/A,N/A,,1200|650,131,650,0.03,694
GRO_023_36,CUAJINICUILAPAN,Guerrero,GRO,Cuajinicuilapa,Cuajinicuilapa,991,MICHOACÁN,PERFIL_10,0.04,0.02,N/A,N/A,,1200|650,120,650,0.03,695
COA_028_07,SABINAS,Coahuila,COA,Sabinas,Sabinas,1047,NORTE,PERFIL_17,0.04,0,N/A,N/A,,1200|650,110,650,0.03,701
SIN_011_04,GUASAVE,Sinaloa,SIN,Guasave,Guasave,1055,NORESTE,PERFIL_13,0.03,0.02,N/A,N/A,,1200|650,90,650,0.03,702
SIN_002_15,ANGOSTURA,Sinaloa,SIN,Angostura,Angostura,1105,NORESTE,PERFIL_13,0.03,0.02,N/A,N/A,,1200|650,90,650,0.03,706
SIN_006_06,GUAMUCHIL,Sinaloa,SIN,Guamuchil,Guamúchil,1110,NORESTE,PERFIL_13,0.03,0.02,N/A,N/A,,1200|650,90,650,0.03,707
SIN_001_09,AHOME,Sinaloa,SIN,Ahome,Ahome,1149,NORESTE,PERFIL_13,0.03,0.02,N/A,N/A,,1200|650,90,650,0.03,711
VER_044_07,CORDOBA,Veracruz,VER,Córdoba,Córdoba,675,SURESTE,PERFIL_09,0.02,0,N/A,N/A,,1200|650,110,650,0.02,716
GRO_067_31,TLAPEHUALA,Guerrero,GRO,Tlapehuala,Tlapehuala,679,MICHOACÁN,PERFIL_10,0.04,0.02,N/A,N/A,,1200|650,120,650,0.02,718
