SKU,Producto,Fecha,Cantidad,Origen,Usage Origen,Destino,Usage Destino,Clasificacion,Afecto Almacen (WH),Saldo Almacen Acumulado,Referencia,Lote
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-06-05 20:42:01,4.0,WH/stock/61-A-1,internal,Ubicaciones de Socios/Customers,customer,VENTA,SI,293.0,ZTYRES/ENTREGA/CLIENTE/155622,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-06-09 20:53:22,2.0,WH/stock/61-A-1,internal,Ubicaciones de Socios/Customers,customer,VENTA,SI,291.0,ZTYRES/ENTREGA/CLIENTE/155983,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-06-18 17:28:19,12.0,WH/stock/61-A-2,internal,Ubicaciones de Socios/Customers,customer,VENTA,SI,279.0,ZTYRES/ENTREGA/CLIENTE/157374,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-06-18 17:28:19,12.0,WH/stock/61-A-1,internal,Ubicaciones de Socios/Customers,customer,VENTA,SI,267.0,ZTYRES/ENTREGA/CLIENTE/157374,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-06-24 17:20:52,4.0,WH/stock/61-A-3,internal,Ubicaciones de Socios/Customers,customer,VENTA,SI,263.0,ZTYRES/ENTREGA/CLIENTE/158485,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-06-30 23:28:30,24.0,WH/stock/61-A-3,internal,Ubicaciones de Socios/Customers,customer,VENTA,SI,239.0,ZTYRES/ENTREGA/CLIENTE/159639,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-06-30 23:28:30,16.0,WH/stock/61-A-2,internal,Ubicaciones de Socios/Customers,customer,VENTA,SI,223.0,ZTYRES/ENTREGA/CLIENTE/159638,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-06-30 23:28:30,4.0,WH/stock/61-A-3,internal,Ubicaciones de Socios/Customers,customer,VENTA,SI,219.0,ZTYRES/ENTREGA/CLIENTE/159638,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-06-30 23:28:30,12.0,WH/stock/61-A-4,internal,Ubicaciones de Socios/Customers,customer,VENTA,SI,207.0,ZTYRES/ENTREGA/CLIENTE/159547,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-06-30 23:28:30,4.0,WH/stock/61-A-4,internal,Ubicaciones de Socios/Customers,customer,VENTA,SI,203.0,ZTYRES/ENTREGA/CLIENTE/159639,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-07-02 18:00:17,40.0,Ubicaciones Virtuales/TRANSITO INTERNACIONAL,transit,WH/stock,internal,TRANSITO_A_ALMACEN,SI,243.0,ZTYRES/RECEPCION/COMPRAS/INTERNACIONALES/ALMACEN/01872,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-07-03 15:19:53,20.0,WH/stock,internal,WH/stock/61-B-1,internal,TRANSFERENCIA_INTERNA,NO,243.0,ZTYRES/TRASFERENCIA/INTERNA/05999,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-07-03 15:19:53,20.0,WH/stock,internal,WH/stock/60-B-1,internal,TRANSFERENCIA_INTERNA,NO,243.0,ZTYRES/TRASFERENCIA/INTERNA/05999,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-07-07 20:56:46,4.0,WH/stock/61-A-4,internal,Ubicaciones de Socios/Customers,customer,VENTA,SI,239.0,ZTYRES/ENTREGA/CLIENTE/160349,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-07-08 23:43:09,2.0,WH/stock/61-A-4,internal,Ubicaciones de Socios/Customers,customer,VENTA,SI,237.0,ZTYRES/ENTREGA/CLIENTE/160609,2025
